prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
local-plan,,,,government-organisation:D1342,arun-district-council-local-plan-2011,4220000,,,
local-plan,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2020,4220001,,,
local-plan-boundary,,,,government-organisation:D1342,E60000188,4211000,,,
local-plan-boundary,,,,government-organisation:D1342,E60000193,4211001,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-2,3800000,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-5,3800001,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-8,3800002,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-3,3800003,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-6,3800004,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-4,3800005,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-7,3800006,,,
local-plan-document,,,,government-organisation:D1342,arun-district-council-local-plan-2011-1,3800007,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-camden-local-plan-2016-2,3800008,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-camden-local-plan-2016-1,3800009,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2020-3,3800010,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2020-4,3800011,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2020-5,3800012,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2020-2,3800013,,,
local-plan-document,,,,government-organisation:D1342,london-borough-of-islington-local-plan-2020-1,3800014,,,
local-plan,,,,government-organisation:D1342,london-borough-of-camden-local-plan-2026,4220002,,,
local-plan,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016,4220003,,,
local-plan,,,,government-organisation:D1342,east-lindsey-district-council-local-plan-2016,4220004,,,
local-plan,,,,government-organisation:D1342,london-borough-of-camden-local-plan-2016,4220005,,,
local-plan,,,,government-organisation:D1342,south-cambridgeshire-district-council-local-plan-2018,4220006,,,
local-plan,,,,government-organisation:D1342,staffordshire-moorlands-district-council-local-plan-2014,4220007,,,
local-plan,,,,government-organisation:D1342,thurrock-council-local-plan-2015,4220008,,,
local-plan,,,,government-organisation:D1342,vale-of-white-horse-district-council-local-plan-2011,4220009,,,
local-plan-boundary,,,,government-organisation:D1342,E60000268,4211002,,,
local-plan-boundary,,,,government-organisation:D1342,E60000148,4211003,,,
local-plan-boundary,,,,government-organisation:D1342,E60000123,4211004,,,
local-plan-boundary,,,,government-organisation:D1342,E60000002,4211005,,,
local-plan-boundary,,,,government-organisation:D1342,E60000153,4211006,,,
local-plan-boundary,,,,government-organisation:D1342,E60000093,4211007,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-1,3800015,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-46,3800016,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-2,3800017,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-47,3800018,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-43,3800019,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-17,3800020,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-10,3800021,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-11,3800022,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-12,3800023,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-44,3800024,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-48,3800025,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-9,3800026,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-13,3800027,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-14,3800028,,,
local-plan-document,,,,government-organisation:D1342,darlington-borough-council-local-plan-2016-15,3800029,,,
