prefix,resource,organisation,reference,entity
development-policy-category,,,other-commercial-development,5400000
development-policy-category,,,telecommunications,5400001
development-policy-category,,,coastal-change-management,5400002
development-policy-category,,,minerals-and-energy,5400003
development-policy-category,,,security,5400004
development-policy-category,,,accessibility,5400005
development-policy-category,,,advertising,5400006
development-policy-category,,,affordable-housing,5400007
development-policy-category,,,aggregates,5400008
development-policy-category,,,air-quality,5400009
development-policy-category,,,allocated-sites,5400010
development-policy-category,,,allotments,5400011
development-policy-category,,,archaeology,5400012
development-policy-category,,,area/location-specific-policy,5400013
development-policy-category,,,area-specific-policy,5400014
development-policy-category,,,arts,5400015
development-policy-category,,,aviation,5400016
development-policy-category,,,biodiversity,5400017
development-policy-category,,,broadband,5400018
development-policy-category,,,burial-spaces,5400019
development-policy-category,,,buses,5400020
development-policy-category,,,car-parks,5400021
development-policy-category,,,climate-change,5400022
development-policy-category,,,communications,5400023
development-policy-category,,,community-facilities,5400024
development-policy-category,,,community-infrastructure-levy,5400025
development-policy-category,,,compulsory-purchase-orders,5400026
development-policy-category,,,conservation-natural-environment,5400027
development-policy-category,,,conservation-built-environment,5400028
development-policy-category,,,conservation-historic-environment,5400029
development-policy-category,,,conservation-area,5400030
development-policy-category,,,construction,5400031
development-policy-category,,,contamination,5400032
development-policy-category,,,culture,5400033
development-policy-category,,,cycling,5400034
development-policy-category,,,density,5400035
development-policy-category,,,design,5400036
development-policy-category,,,designation,5400037
development-policy-category,,,development-management,5400038
development-policy-category,,,digital-infrastructure,5400039
development-policy-category,,,ecology,5400040
development-policy-category,,,economy,5400041
development-policy-category,,,education,5400042
development-policy-category,,,employment,5400043
development-policy-category,,,energy,5400044
development-policy-category,,,enforcement,5400045
development-policy-category,,,engagement,5400046
development-policy-category,,,equestrian-facilities,5400047
development-policy-category,,,existing-housing,5400048
development-policy-category,,,flood-risk,5400049
development-policy-category,,,flooding,5400050
development-policy-category,,,freight,5400051
development-policy-category,,,green-belt,5400052
development-policy-category,,,gypsy-and-travellers,5400053
development-policy-category,,,health,5400054
development-policy-category,,,heritage,5400055
development-policy-category,,,highways,5400056
development-policy-category,,,housing,5400057
development-policy-category,,,housing-mix,5400058
development-policy-category,,,industry,5400059
development-policy-category,,,infrastructure,5400060
development-policy-category,,,jobs,5400061
development-policy-category,,,leisure,5400062
development-policy-category,,,lighting,5400063
development-policy-category,,,listed-building,5400064
development-policy-category,,,local-development-scheme,5400065
development-policy-category,,,mining,5400066
development-policy-category,,,monitoring,5400067
development-policy-category,,,nature,5400068
development-policy-category,,,neighbourhood-planning,5400069
development-policy-category,,,night-time-economy,5400070
development-policy-category,,,noise,5400071
development-policy-category,,,office,5400072
development-policy-category,,,open-space,5400073
development-policy-category,,,ownership,5400074
development-policy-category,,,parking,5400075
development-policy-category,,,play-space,5400076
development-policy-category,,,private-hire,5400077
development-policy-category,,,professional-and-financial-services,5400078
development-policy-category,,,public-transport,5400079
development-policy-category,,,rail,5400080
development-policy-category,,,regeneration,5400081
development-policy-category,,,rent,5400082
development-policy-category,,,residential-alterations,5400083
development-policy-category,,,retail,5400084
development-policy-category,,,retail-policy,5400085
development-policy-category,,,schools,5400086
development-policy-category,,,section-106,5400087
development-policy-category,,,servicing,5400088
development-policy-category,,,specialised-housing,5400089
development-policy-category,,,strategic-policy,5400090
development-policy-category,,,street-markets,5400091
development-policy-category,,,tourism,5400092
development-policy-category,,,town-centres,5400093
development-policy-category,,,tram,5400094
development-policy-category,,,transport,5400095
development-policy-category,,,trees,5400096
development-policy-category,,,use-class,5400097
development-policy-category,,,views,5400098
development-policy-category,,,walking,5400099
development-policy-category,,,waste-management,5400100
development-policy-category,,,waste,5400101
development-policy-category,,,water-supply,5400102
development-policy-category,,,wastewater,5400103
development-policy-category,,,water,5400104
development-policy-category,,,waterways,5400105
development-policy-category,,,world-heritage-sites,5400106
