end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,16200000,,,,contribution-purpose,,,,affordable-housing
,,16200001,,,,contribution-purpose,,,,bonds
,,16200002,,,,contribution-purpose,,,,cil-administration-costs
,,16200003,,,,contribution-purpose,,,,community-facilities
,,16200004,,,,contribution-purpose,,,,community-infrastructure-levy
,,16200005,,,,contribution-purpose,,,,digital-infrastructure
,,16200006,,,,contribution-purpose,,,,economic-development
,,16200007,,,,contribution-purpose,,,,education
,,16200008,,,,contribution-purpose,,,,flood
,,16200009,,,,contribution-purpose,,,,flood-and-water-management
,,16200010,,,,contribution-purpose,,,,green-infrastructure
,,16200011,,,,contribution-purpose,,,,health
,,16200012,,,,contribution-purpose,,,,highways
,,16200013,,,,contribution-purpose,,,,land
,,16200014,,,,contribution-purpose,,,,mayoral-community-infrastructure-levy
,,16200015,,,,contribution-purpose,,,,monitoring-fees
,,16200016,,,,contribution-purpose,,,,neighbourhood-community-infrastructure-levy
,,16200017,,,,contribution-purpose,,,,open-space
,,16200018,,,,contribution-purpose,,,,open-space-and-leisure
,,16200019,,,,contribution-purpose,,,,other
,,16200020,,,,contribution-purpose,,,,transport
,,16200021,,,,contribution-purpose,,,,transport-and-travel
