prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
local-area-requirements,,,,local-authority:ADU,adur-local-validation-list,20000,,,
local-area-requirements,,,,local-authority:ALL,allerdale-planning-validation-checklist-guidance,20001,,,
local-area-requirements,,,,local-authority:ASH,ashfield-validation-list,20002,,,
local-area-requirements,,,,local-authority:BAB,babergh-local-validation-requirements,20003,,,
local-area-requirements,,,,local-authority:BDG,barking-and-dagenham-local-information-requirements,20004,,,
local-area-requirements,,,,local-authority:BNE,barnet-local-requirements-validation,20005,,,
local-area-requirements,,,,local-authority:BNS,barnsley-local-validation-requirements,20006,,,
local-area-requirements,,,,local-authority:BAI,basildon-local-list-of-validation-requirements,20007,,,
local-area-requirements,,,,local-authority:BAN,basingstoke-and-deane-planning-application-requirements,20008,,,
local-area-requirements,,,,local-authority:BAE,bassetlaw-validation-of-planning-applications,20009,,,
local-area-requirements,,,,local-authority:BAS,bath-and-north-east-somerset-local-requirements,20010,,,
local-area-requirements,,,,local-authority:BDF,bedford-validation-requirements,20011,,,
local-area-requirements,,,,local-authority:BEX,bexley-planning-application-requirements,20012,,,
local-area-requirements,,,,local-authority:BBD,blackburn-with-darwen-validation-checklist,20013,,,
local-area-requirements,,,,local-authority:BPL,blackpool-local-validation-checklist,20014,,,
local-area-requirements,,,,local-authority:BOL,bolton-validation-requirements,20015,,,
local-area-requirements,,,,local-authority:BOT,boston-validation-requirements-and-guidance,20016,,,
local-area-requirements,,,,local-authority:BPC,bournemouth-christchurch-and-poole-validation-checklists,20017,,,
local-area-requirements,,,,local-authority:BRC,bracknell-forest-validation-checklist,20018,,,
local-area-requirements,,,,local-authority:BRD,bradford-local-requirements,20019,,,
local-area-requirements,,,,local-authority:BRA,braintree-local-validation-list,20020,,,
local-area-requirements,,,,local-authority:BRE,breckland-local-validation-checklist,20021,,,
local-area-requirements,,,,local-authority:BEN,brent-local-list,20022,,,
local-area-requirements,,,,local-authority:BRW,brentwood-local-information-requirement,20023,,,
local-area-requirements,,,,local-authority:BNH,brighton-and-hove-planning-application-checklist,20024,,,
local-area-requirements,,,,local-authority:BIR,brimingham-local-information-requirements,20025,,,
local-area-requirements,,,,local-authority:BST,bristol-planning-application-requirements,20026,,,
local-area-requirements,,,,local-authority:BRO,broadland-additional-supporting-documents,20027,,,
local-area-requirements,,,,national-park-authority:Q4972284,broads-validation-checklist,20028,,,
local-area-requirements,,,,local-authority:BRY,bromley-local-information-requirements,20029,,,
local-area-requirements,,,,local-authority:BRT,broxtowe-local-validation-requirements,20030,,,
local-area-requirements,,,,local-authority:BUN,burnley-planning-application-validation-checklist,20031,,,
local-area-requirements,,,,local-authority:BUR,bury-local-requirements,20032,,,
local-area-requirements,,,,local-authority:CAB,cambridge-planning-application-validation-checklist,20033,,,
local-area-requirements,,,,local-authority:CMD,camden-local-area-requirement,20034,,,
local-area-requirements,,,,local-authority:CAN,cannock-chase-validation-of-planning-applications,20035,,,
local-area-requirements,,,,local-authority:CAS,castle-point-validation-requirements,20036,,,
local-area-requirements,,,,local-authority:CBF,central-bedfordshire-local-requirements,20037,,,
local-area-requirements,,,,local-authority:CHA,charnwood-validation-requirements,20038,,,
local-area-requirements,,,,local-authority:CHL,chelmsford-local-validation-requirements,20039,,,
local-area-requirements,,,,local-authority:CHT,cheltenham-validation,20040,,,
local-area-requirements,,,,local-authority:CHR,cherwell-validation-checklist,20041,,,
local-area-requirements,,,,local-authority:CHE,cheshire-east-local-validation-checklist,20042,,,
local-area-requirements,,,,local-authority:CHW,cheshire-west-and-chester-local-supporting-information,20043,,,
local-area-requirements,,,,local-authority:CHI,chichester-local-list,20044,,,
local-area-requirements,,,,local-authority:CHO,chorley-validation-criteria,20045,,,
local-area-requirements,,,,local-authority:LND,city-of-london-validation-checklist,20046,,,
local-area-requirements,,,,local-authority:COL,colchester-local-validation-requirements-list,20047,,,
local-area-requirements,,,,local-authority:COP,copeland-validation-checklist-guidance,20048,,,
local-area-requirements,,,,local-authority:COR,corby-validation-checklist,20049,,,
local-area-requirements,,,,local-authority:CON,cornwall-local-requirements,20050,,,
local-area-requirements,,,,local-authority:COT,cotswold-validation-checklist,20051,,,
local-area-requirements,,,,local-authority:COV,coventry-validation-checklist,20052,,,
local-area-requirements,,,,local-authority:CRA,craven-local-information-requirements,20053,,,
local-area-requirements,,,,local-authority:CRW,crawley-local-list-of-validation-requirements,20054,,,
local-area-requirements,,,,local-authority:CRY,croydon-planning-application-requirements,20055,,,
local-area-requirements,,,,local-authority:CUA,cumberland-local-planning-validation-requirements,20056,,,
local-area-requirements,,,,local-authority:DAR,dartford-validation-requirements,20057,,,
local-area-requirements,,,,national-park-authority:Q5225646,dartmoor-validation-checklist,20058,,,
local-area-requirements,,,,local-authority:DAV,daventry-local-requirements,20059,,,
local-area-requirements,,,,local-authority:DNC,doncaster-planning-application-information-requirements,20060,,,
local-area-requirements,,,,local-authority:DST,dorset-local-list-requirements,20061,,,
local-area-requirements,,,,local-authority:DOV,dover-validation-requirements,20062,,,
local-area-requirements,,,,local-authority:DUD,dudley-validation-checklist,20063,,,
local-area-requirements,,,,local-authority:DUR,durham-planning-validation-requirements,20064,,,
local-area-requirements,,,,local-authority:EAL,ealing-planning-application-requirements,20065,,,
local-area-requirements,,,,local-authority:ECA,east-cambridgeshire-validation-checklists,20066,,,
local-area-requirements,,,,local-authority:EDE,east-devon-local-validation-requirements,20067,,,
local-area-requirements,,,,local-authority:EHA,east-hampshire-planning-application-requirements,20068,,,
local-area-requirements,,,,local-authority:EHE,east-hertforshire-local-validation-requirements,20069,,,
