end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,611001,,,,green-belt-core,,,,Bath and Bristol
,,611002,,,,green-belt-core,,,,Birmingham
,,611003,,,,green-belt-core,,,,Blackpool
,,611004,,,,green-belt-core,,,,South West Hampshire
,,611005,,,,green-belt-core,,,,Burton-upon-Trent and Swadlincote
,,611006,,,,green-belt-core,,,,Cambridge
,,611007,,,,green-belt-core,,,,"Carnforth, Lancaster and Morecambe"
,,611008,,,,green-belt-core,,,,Cheltenham and Gloucester
,,611009,,,,green-belt-core,,,,Derby and Nottingham
,,611010,,,,green-belt-core,,,,London
,,611011,,,,green-belt-core,,,,Merseyside and Greater Manchester
,,611012,,,,green-belt-core,,,,Oxford
,,611013,,,,green-belt-core,,,,South and West Yorkshire
,,611014,,,,green-belt-core,,,,Stoke-on-Trent
,,611015,,,,green-belt-core,,,,Tyne and Wear
,,611016,,,,green-belt-core,,,,York
